IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ADELINA,KOBIETA,2316
VALENTINA,KOBIETA,2304
FELIKSA,KOBIETA,2294
TAISIIA,KOBIETA,2282
OLA,KOBIETA,2266
ANGELA,KOBIETA,2240
KRZYSZTOFA,KOBIETA,2225
SOPHIA,KOBIETA,2154
MIRIAM,KOBIETA,2150
VASYLYNA,KOBIETA,2115
INES,KOBIETA,2097
VITALINA,KOBIETA,2091
LINA,KOBIETA,2082
NATALIE,KOBIETA,2064
MAIIA,KOBIETA,2031
GALINA,KOBIETA,2018
ANTONIA,KOBIETA,2008
NADZIEJA,KOBIETA,2003
AMINA,KOBIETA,1942
EDWARDA,KOBIETA,1934
ELINA,KOBIETA,1930
ROMA,KOBIETA,1868
ELFRYDA,KOBIETA,1867
BOLESŁAWA,KOBIETA,1866
KSENIYA,KOBIETA,1858
ERIKA,KOBIETA,1828
MARIETTA,KOBIETA,1824
LIVIA,KOBIETA,1821
IZA,KOBIETA,1800
VERONICA,KOBIETA,1791
YANINA,KOBIETA,1776
MANUELA,KOBIETA,1759
SALOMEA,KOBIETA,1735
KLEMENTYNA,KOBIETA,1734
SOFIYA,KOBIETA,1727
ARLETTA,KOBIETA,1715
NIKA,KOBIETA,1711
ANDREA,KOBIETA,1703
GLORIA,KOBIETA,1702
EDELTRAUDA,KOBIETA,1691
JANA,KOBIETA,1649
KLAUDYNA,KOBIETA,1642
ISABELLA,KOBIETA,1633
FLORENTYNA,KOBIETA,1624
PALINA,KOBIETA,1619
MARGARITA,KOBIETA,1602
ALA,KOBIETA,1589
ROKSOLANA,KOBIETA,1588
VALERYIA,KOBIETA,1586
MARTINA,KOBIETA,1579
GRETA,KOBIETA,1576
EKATERINA,KOBIETA,1574
INA,KOBIETA,1573
VERANIKA,KOBIETA,1571
NADIYA,KOBIETA,1551
YARYNA,KOBIETA,1546
MIRA,KOBIETA,1536
HANNAH,KOBIETA,1503
YELIZAVETA,KOBIETA,1498
LYUDMYLA,KOBIETA,1494
ARIANA,KOBIETA,1492
ELLA,KOBIETA,1483
MALINA,KOBIETA,1467
RUTA,KOBIETA,1457
JENNIFER,KOBIETA,1440
ELVIRA,KOBIETA,1439
HELGA,KOBIETA,1424
ELIZABETH,KOBIETA,1422
LINDA,KOBIETA,1408
LIZAVETA,KOBIETA,1405
LILY,KOBIETA,1403
VALERIA,KOBIETA,1403
ANDRIANA,KOBIETA,1400
ALESIA,KOBIETA,1391
PATRICIA,KOBIETA,1390
VERA,KOBIETA,1390
SABRINA,KOBIETA,1388
WIERA,KOBIETA,1387
VIOLETA,KOBIETA,1384
DINA,KOBIETA,1372
DOBROSŁAWA,KOBIETA,1371
LYUBOV,KOBIETA,1364
DANA,KOBIETA,1351
CARMEN,KOBIETA,1348
GERDA,KOBIETA,1317
ALICE,KOBIETA,1315
GABRIELLA,KOBIETA,1310
NICOL,KOBIETA,1309
LIANA,KOBIETA,1297
TAMILA,KOBIETA,1268
VIKTORIYA,KOBIETA,1267
NAOMI,KOBIETA,1256
YULIANA,KOBIETA,1254
MARCJANNA,KOBIETA,1248
AKSANA,KOBIETA,1234
EULALIA,KOBIETA,1230
BERNARDYNA,KOBIETA,1222
SIMONA,KOBIETA,1221
WANESA,KOBIETA,1211
ALICIA,KOBIETA,1210
JAROSŁAWA,KOBIETA,1203
MAJKA,KOBIETA,1201
DALIA,KOBIETA,1201
IRMGARDA,KOBIETA,1198
VLADA,KOBIETA,1191
CAROLINE,KOBIETA,1171
MARITA,KOBIETA,1167
ANIKA,KOBIETA,1166
KRYSTSINA,KOBIETA,1164
DŻESIKA,KOBIETA,1156
LILLY,KOBIETA,1154
HANKA,KOBIETA,1152
VITALIIA,KOBIETA,1143
BOGDANA,KOBIETA,1141
LARISA,KOBIETA,1137
NASTASSIA,KOBIETA,1135
NADZEYA,KOBIETA,1132
BIANCA,KOBIETA,1122
CRISTINA,KOBIETA,1121
MAIA,KOBIETA,1118
KATERINA,KOBIETA,1117
WIRGINIA,KOBIETA,1100
AURORA,KOBIETA,1095
LUDMILA,KOBIETA,1092
DAJANA,KOBIETA,1089
ULYANA,KOBIETA,1089
NELLY,KOBIETA,1079
MARIAM,KOBIETA,1077
MELISA,KOBIETA,1076
KAYA,KOBIETA,1066
ERNA,KOBIETA,1063
EMANUELA,KOBIETA,1060
NIKOLETTA,KOBIETA,1052
INKA,KOBIETA,1049
MELANIIA,KOBIETA,1045
STEFANIIA,KOBIETA,1037
ELIZAVETA,KOBIETA,1033
TEOFILA,KOBIETA,1029
LUBA,KOBIETA,1018
ZOE,KOBIETA,1017
LILIYA,KOBIETA,1016
CAROLINA,KOBIETA,1013
YULIA,KOBIETA,1012
ABIGAIL,KOBIETA,1001
BERENIKA,KOBIETA,998
JÓZEFINA,KOBIETA,992
IRMA,KOBIETA,991
ALIONA,KOBIETA,990
BALBINA,KOBIETA,986
IDALIA,KOBIETA,976
RAMONA,KOBIETA,975
MELISSA,KOBIETA,971
HANA,KOBIETA,948
LEILA,KOBIETA,940
DZIYANA,KOBIETA,936
MARIE,KOBIETA,927
DARINA,KOBIETA,924
MICHAELA,KOBIETA,918
ŻAKLINA,KOBIETA,897
MONICA,KOBIETA,893
CLARA,KOBIETA,892
NINO,KOBIETA,889
KORNELA,KOBIETA,888
INGRID,KOBIETA,885
SWIETŁANA,KOBIETA,869
AMALIA,KOBIETA,862
FATIMA,KOBIETA,861
ARYNA,KOBIETA,860
EMILA,KOBIETA,847
IWONNA,KOBIETA,839
TAISA,KOBIETA,831
ROXANA,KOBIETA,829
FILOMENA,KOBIETA,824
BLANDYNA,KOBIETA,818
SEWERYNA,KOBIETA,814
YAUHENIYA,KOBIETA,809
SYBILLA,KOBIETA,809
KUNEGUNDA,KOBIETA,808
LISA,KOBIETA,800
LIA,KOBIETA,800
BENEDYKTA,KOBIETA,798
LIGIA,KOBIETA,795
ORYSIA,KOBIETA,787
LUBOMIRA,KOBIETA,780
TAMAR,KOBIETA,778
DOBRAWA,KOBIETA,777
MYLANA,KOBIETA,776
INESA,KOBIETA,773
GRACJANA,KOBIETA,770
CELESTYNA,KOBIETA,767
SILVIA,KOBIETA,764
ELA,KOBIETA,764
MIIA,KOBIETA,762
VALIANTSINA,KOBIETA,758
GABRYELA,KOBIETA,754
LUNA,KOBIETA,753
INHA,KOBIETA,737
SŁAWA,KOBIETA,737
MARGARETA,KOBIETA,735
CHARLOTTE,KOBIETA,731
LILI,KOBIETA,722
ELISA,KOBIETA,721
LEONIA,KOBIETA,718
ŻANETTA,KOBIETA,711
SELENA,KOBIETA,710
ZOYA,KOBIETA,707
TINA,KOBIETA,706
IANA,KOBIETA,706
LEONTYNA,KOBIETA,703
INGEBORGA,KOBIETA,698
